X,Y,gid,Name,description,tessellate
-7.878565,53.5741365,"90",Dublin - Westport,3hr 30min,"1"
-2.829361,50.8263715,"91",London - Penzance,5hr 05min,"1"
-1.3534195,51.490246,"92",London - Bristol,1hr 45min,"1"
-1.0123535,52.0044595,"93",London - Birmingham,1hr 45min,"1"
-3.264671,52.892555,"94",Birmingham - Holyhead,4hr 05min,"1"
-2.5434595,54.214778,"95",Birmingham - Edinburgh,4hr 25min,"1"
-3.7232025,55.906183,"96",Edinburgh - Glasgow,0hr 50min,"1"
-2.6435295,56.5477505,"97",Edinburgh - Aberdeen,2hr 20min,"1"
19.5144854395695,48.7824115189326,"98",Warzaw - Budapest,11hr 20min,"1"
6.509589,50.476008,"99",Brussels - Frankfurt,3hr 10min,"1"
22.0823312,52.68054325,"100",Warsaw - Bialystok,2hr 17min,"1"
25.42085745,57.66660465,"101",Riga - Tartu,4hr 32min,"1"
25.91195955,55.28076355,"102",Vilnius - Daugavpils,2hr 43min,"1"
25.3247271,56.41201015,"103",Daugavpils - Riga,3hr 24min,"1"
23.21196545,55.19522515,"104",Vilnius - Klaipèda,4hr 18min,"1"
25.74505155,58.9102607,"105",Tartu - Tallinn,1hr 58min,"1"
30.92056595,40.45869075,"106",Istanbul - Ankara,4hr,"1"
19.8249567,53.2904331,"107",Warsaw - Gdansk,,"1"
