X,Y,gid,Name,description,tessellate
16.8839495,41.5586885,"1",Ancona - Igoumenitsa,15hr 00min,"1"
18.5658965,40.3083565,"2",Bari - Igoumenitsa,9hr 30min,"1"
20.998691,38.874462,"3",Igoumenitsa - Patras,6hr 00min,"1"
24.431996,36.6675235,"4",Athens - Heraklion,6hr 30min,"1"
25.978779,37.217229,"5",Athens - Rhodes,11hr 50min,"1"
-5.43895900000013,53.330083,"6",Holyhead - Dublin,3hr 15min,"1"
21.4058977,59.385884,"7",Stockholm - Tallinn,16hr 55min,"1"
24.84753335,59.8039604,"8",Helsinki - Tallinn,2hr,"1"
